country	group	value	ranking	name
AUT	Active Learning	0.4277354	1	Health professionals
BEL	Active Learning	0.4277354	1	Health professionals
BGR	Active Learning	0.4277354	1	Health professionals
CHE	Active Learning	0.3929313	1	Science & engineering professionals
CYP	Active Learning	0.4277354	1	Health professionals
CZE	Active Learning	0.4277354	1	Health professionals
DEU	Active Learning	0.4277354	1	Health professionals
DNK	Active Learning	0.4277354	1	Health professionals
EST	Active Learning	0.4277354	1	Health professionals
GRC	Active Learning	0.4277354	1	Health professionals
ESP	Active Learning	0.4277354	1	Health professionals
FIN	Active Learning	0.4277354	1	Health professionals
FRA	Active Learning	0.3929313	1	Science & engineering professionals
HUN	Active Learning	0.4277354	1	Health professionals
IRL	Active Learning	0.4277354	1	Health professionals
ISL	Active Learning	0.4277354	1	Health professionals
ITA	Active Learning	0.4277354	1	Health professionals
LTU	Active Learning	0.4277354	1	Health professionals
LUX	Active Learning	0.4277354	1	Health professionals
LVA	Active Learning	0.4277354	1	Health professionals
NLD	Active Learning	0.4277354	1	Health professionals
NOR	Active Learning	0.3929313	1	Science & engineering professionals
POL	Active Learning	0.3929313	1	Science & engineering professionals
PRT	Active Learning	0.4277354	1	Health professionals
ROU	Active Learning	0.3929313	1	Science & engineering professionals
SWE	Active Learning	0.4277354	1	Health professionals
SVN	Active Learning	0.4277354	1	Health professionals
SVK	Active Learning	0.4277354	1	Health professionals
GBR	Active Learning	0.4277354	1	Health professionals
ZAF	Active Learning	0.4277354	1	Health professionals
AUT	Active Learning	0.3929313	2	Science & engineering professionals
AUT	Active Learning	0.3830617	3	Managers
AUT	Active Learning	0.3805142	4	"Legal, social & cultural professionals"
AUT	Active Learning	0.3709065	5	Teaching professionals
BEL	Active Learning	0.3929313	2	Science & engineering professionals
BEL	Active Learning	0.3805142	3	"Legal, social & cultural professionals"
BEL	Active Learning	0.3709065	4	Teaching professionals
BEL	Active Learning	0.3459568	5	ICT professionals
BGR	Active Learning	0.3929313	2	Science & engineering professionals
BGR	Active Learning	0.3830617	3	Managers
BGR	Active Learning	0.3805142	4	"Legal, social & cultural professionals"
BGR	Active Learning	0.3709065	5	Teaching professionals
CHE	Active Learning	0.3805142	2	"Legal, social & cultural professionals"
